ID,Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,BGG Rank,Complexity Average,Owned Users,Mechanics
188920,This War of Mine: The Board Game,2017,1,6,120,18,8550,7,,,,
287954,Azul: Summer Pavilion,2019,2,4,45,8,7039,7,,,,
126042,Nations,2013,1,5,200,14,11146,7,,,,
223321,Detective: A Modern Crime Board Game,2018,1,5,180,16,7042,7,,,,
195421,Near and Far,2017,2,4,120,13,7245,7,,,,
31627,Ticket to Ride: Nordic Countries,2007,2,3,60,8,11646,7,,,,
104006,Village,2011,2,4,90,12,20255,7,,,,
91,Paths of Glory,1999,2,2,480,14,4539,8,,,,
21050,Combat Commander: Europe,2006,2,2,180,12,5391,7,,,,
463,Magic: The Gathering,1993,2,2,20,13,32442,7,,,,
171131,Captain Sonar,2016,2,8,60,14,16007,7,,,,
220877,Rajas of the Ganges,2017,2,4,75,12,8826,7,,,,
224037,Codenames: Duet,2017,2,99,30,11,13985,7,,,,
25021,Sekigahara: The Unification of Japan,2011,2,2,180,14,4380,8,,,,
254640,Just One,2018,3,7,20,8,11775,7,,,,
217372,The Quest for El Dorado,2017,2,4,60,10,12131,7,,,,
182631,Star Realms: Colony Wars,2015,2,2,20,12,6075,7,,,,
148228,Splendor,2014,2,4,30,10,58709,7,,,,
194655,Santorini,2016,2,4,20,8,27873,7,,,,
146886,La Granja,2014,1,4,120,12,8756,7,,,,
271324,It's a Wonderful World,2019,1,5,60,14,6061,7,,,,
245638,Coimbra,2018,2,4,90,14,8494,7,,,,
274364,Watergate,2019,2,2,60,12,4438,8,,,,
215,Tichu,1991,4,4,60,10,13298,7,,,,
188,Go,-2200,2,2,180,8,14843,7,,,,
9209,Ticket to Ride,2004,2,5,60,8,71611,7,,,,
316554,Dune: Imperium,2020,1,4,120,14,2860,8,,,,
129437,Legendary: A Marvel Deck Building Game,2012,1,5,60,14,19785,7,,,,
12,Ra,1999,2,5,60,12,19097,7,,,,
822,Carcassonne,2000,2,5,45,7,101853,7,,,,
176189,Zombicide: Black Plague,2015,1,6,180,14,12651,7,,,,
109276,Kanban: Driver's Edition,2014,2,4,120,12,5727,7,,,,
155068,Arcadia Quest,2014,2,4,60,13,9152,7,,,,
9216,Goa,2004,2,4,90,12,10928,7,,,,
282524,Horrified,2019,1,5,60,10,6442,7,,,,
555,The Princes of Florence,2000,2,5,100,12,14555,7,,,,
54998,Cyclades,2009,2,5,90,13,17873,7,,,,
188834,Secret Hitler,2016,5,10,45,13,18198,7,,,,
253344,Cthulhu: Death May Die,2019,1,5,120,14,3990,8,,,,
192291,Sushi Go Party!,2016,2,8,20,8,22327,7,,,,
27833,Steam,2009,3,5,90,10,9567,7,,,,
7854,YINSH,2003,2,2,60,9,7342,7,,,,
128621,Viticulture,2013,2,6,90,13,10189,7,,,,
31481,Galaxy Trucker,2007,2,4,60,10,29509,7,,,,
156129,Deception: Murder in Hong Kong,2014,4,12,20,14,16001,7,,,,
189932,Tyrants of the Underdark,2016,2,4,60,14,5083,7,,,,
169426,Roll Player,2016,1,4,90,10,13286,7,,,,
20551,Shogun,2006,3,5,120,12,12828,7,,,,
176494,Isle of Skye: From Chieftain to King,2015,2,5,50,8,20425,7,,,,
421,1830: Railways & Robber Barons,1986,2,7,360,14,4694,7,,,,
199478,Flamme Rouge,2016,2,4,45,8,12139,7,,,,
232832,Century: Golem Edition,2017,2,5,45,8,6991,7,,,,
198994,Hero Realms,2016,2,4,30,12,12203,7,,,,
19857,Glory to Rome,2005,2,5,60,12,12968,7,,,,
140620,Lewis & Clark: The Expedition,2013,1,5,120,14,12926,7,,,,
27708,1960: The Making of the President,2007,2,2,120,12,8516,7,,,,
155873,Power Grid Deluxe: Europe/North America,2014,2,6,120,12,3768,8,,,,
158600,Hanamikoji,2013,2,2,15,10,11047,7,,,,
127060,Bora Bora,2013,2,4,120,12,9107,7,,,,
24181,Imperial,2006,2,6,180,13,8246,7,,,,
97207,Dungeon Petz,2011,2,4,90,13,12707,7,,,,
3,Samurai,1998,2,4,60,10,14758,7,,,,
242302,Space Base,2018,2,5,60,14,8388,7,,,,
108745,Seasons,2012,2,4,60,14,20812,7,,,,
154203,Imperial Settlers,2014,1,4,90,10,21089,7,,,,
228341,Pulsar 2849,2017,2,4,90,14,6080,7,,,,
92828,Dixit: Odyssey,2011,3,12,30,8,16717,7,,,,
283948,Marco Polo II: In the Service of the Khan,2019,2,4,120,12,3040,8,,,,
22545,Age of Empires III: The Age of Discovery,2007,2,5,120,10,9820,7,,,,
204583,Kingdomino,2016,2,4,15,8,32277,7,,,,
222509,Lords of Hellas,2018,1,4,90,14,5507,7,,,,
38453,Space Alert,2008,1,5,30,12,14763,7,,,,
118,Modern Art,1992,3,5,45,10,16721,7,,,,
181279,Fury of Dracula (Third/Fourth Edition),2015,2,5,180,14,11489,7,,,,
265188,Glen More II: Chronicles,2019,2,4,120,12,3491,8,,,,
193037,Dead of Winter: The Long Night,2016,2,5,120,14,7881,7,,,,
760,Battle Line,2000,2,2,30,12,15652,7,,,,
93260,Summoner Wars: Master Set,2011,2,4,60,9,10358,7,,,,
144344,Rococo,2013,2,5,120,12,7517,7,,,,
203420,Exit: The Game - The Abandoned Cabin,2016,1,6,120,12,8821,7,,,,
209418,Dominion (Second Edition),2016,2,4,30,14,4275,7,,,,
66589,Navegador,2010,2,5,90,12,8022,7,,,,
59294,Runewars,2010,2,4,240,14,7763,7,,,,
176734,The Manhattan Project: Energy Empire,2016,1,5,120,13,4771,7,,,,
286096,Tapestry,2019,1,5,120,12,11583,7,,,,
48726,Alien Frontiers,2010,2,4,90,13,14150,7,,,,
19777,Indonesia,2005,2,5,240,14,4034,7,,,,
54138,Imperial 2030,2009,2,6,180,12,5728,7,,,,
268864,Undaunted: Normandy,2019,2,2,60,14,4296,7,,,,
172081,Burgle Bros.,2015,1,4,90,12,8409,7,,,,
234,Hannibal: Rome vs. Carthage,1996,2,2,200,12,4785,7,,,,
256916,Concordia Venus,2018,2,6,120,12,2301,8,,,,
